Title,Description,Category,Style
The Thinker,"A sculpture by Auguste Rodin, The Thinker is one of the most recognizable works in the history of art. The sculpture depicts a seated man in deep contemplation, his chin resting on his hand. The Thinker is often interpreted as a symbol of intellectual struggle and the human capacity for thought.",Art,Opera
The Catcher in the Rye,"A classic novel by J.D. Salinger, The Catcher in the Rye delves into themes of teenage alienation, rebellion, and identity crisis. The protagonist, Holden Caulfield, becomes an icon of youthful angst, expressing his dissatisfaction with the world around him as he navigates life in New York City.",Literature,Realism
The School of Athens,"A fresco representing philosophy, The School of Athens features key ancient thinkers such as Plato and Aristotle at the center, surrounded by other philosophers and scientists. Raphael’s composition and use of perspective exemplify the balance and harmony of Renaissance art.",,Renaissance
The Birth of Venus,"A painting by Sandro Botticelli showing the goddess Venus rising from the sea on a shell, surrounded by other mythological figures. The work represents beauty and love, blending classical themes with Renaissance techniques.",Art,Renaissance
"A painting by Sandro Botticelli showing the goddess Venus rising from the sea on a shell, surrounded by other mythological figures. The work represents beauty and love, blending classical themes with Renaissance techniques.","A painting by Georges Seurat using pointillism, showing people relaxing in a park.",Art,Post-Impressionism
Art,"A one-movement orchestral piece by Maurice Ravel, famous for its repeated melody and crescendo.",Music,20th Century Classical
Renaissance,"A symphonic poem by Claude Debussy, which conveys a dream-like atmosphere based on a Stéphane Mallarmé poem.",Music,Impressionism
Don Giovanni,"An opera by Wolfgang Amadeus Mozart, telling the story of the infamous libertine Don Giovanni.",Music,Classical
The Tempest,"A play by William Shakespeare about magic, betrayal, and forgiveness on a remote island.",Literature,Renaissance Drama
To Kill a Mockingbird,A novel by Harper Lee about racial injustice and moral growth in the American South.,Literature,Modernism
The Rite of Spring,"A ballet and orchestral work by Igor Stravinsky, known for its avant-garde music and controversial premiere.",Music,Modernism
Wuthering Heights,"A novel by Emily Brontë exploring themes of love, revenge, and the supernatural in a rural English setting.",Literature,Gothic/Romanticism
"Nocturne in E-flat Major, Op. 9, No. 2","A piano composition by Frédéric Chopin, known for its lyrical beauty and expressiveness.",Music,Romanticism
The Canterbury Tales,"A collection of stories by Geoffrey Chaucer, told by pilgrims traveling to Canterbury.",Literature,Middle Ages Literature
The Nutcracker,"A ballet by Pyotr Ilyich Tchaikovsky, featuring the famous ""Dance of the Sugar Plum Fairy.""",Music,Romantic Ballet
Madame Bovary,"A novel by Gustave Flaubert, telling the tragic story of Emma Bovary's adulterous life and unfulfilled dreams.",Literature,Realism
Requiem,"A mass for the dead by Wolfgang Amadeus Mozart, left unfinished at the time of his death.",Music,Classical
The Odyssey,"An epic poem attributed to Homer, chronicling the adventures of Odysseus as he returns home from the Trojan War.",Literature,Ancient Epic Poetry
The Hay Wain,A painting by John Constable depicting an idyllic English countryside scene with a cart crossing a river.,Art,Romanticism
Rhapsody in Blue,A musical composition by George Gershwin blending classical music with jazz influences.,Music,Jazz/Classical Fusion
The Faerie Queene,"An epic poem by Edmund Spenser, written in praise of Queen Elizabeth I and embodying ideals of chivalry.",Literature,Renaissance Poetry
The Planets,"A seven-movement orchestral suite by Gustav Holst, with each movement named after a planet and its corresponding astrological character.",Music,20th Century Classical
Hamlet,"A Shakespearean tragedy about the Prince of Denmark, grappling with revenge, madness, and moral corruption.",Literature,Renaissance Drama
Spoliarium,“Spoliarium” is a famous artwork by the Filipino painter Juan Luna in 1884. The “spoliarium” was the place where Roman gladiators were stripped of their armor after defeat in the amphitheatre. “Luna’s painting reflects the cultural and political context of the Philippines during its colonial period.,Art,Romanticism
The Birth of Venus,"A painting by Sandro Botticelli, The Birth of Venus is a depiction of the goddess Venus emerging from the sea. It is celebrated for its use of classical mythology, delicate figures, and Botticelli's characteristic linear style. The painting reflects the ideals of the Renaissance in its balance and beauty.",Art,Renaissance
Don Quixote,"A novel by Miguel de Cervantes, Don Quixote tells the story of an eccentric knight and his adventures. The novel is renowned for its exploration of reality and illusion, as well as its critique of chivalry and idealism. Don Quixote is considered one of the most important works of Western literature.",Literature,Realism
Swan Lake,"A ballet by Pyotr Ilyich Tchaikovsky, Swan Lake is a tragic love story set to a beautiful orchestral score. The ballet is known for its emotional depth and complex choreography, especially the dual role of Odette/Odile. Swan Lake has become one of the most iconic ballets in the world.",Music,Classical
The Divine Comedy,"An epic poem by Dante Alighieri, The Divine Comedy is a journey through Hell, Purgatory, and Paradise. It is a masterwork of Italian literature, combining political allegory, theology, and an exploration of the human condition. The Divine Comedy has influenced countless works of art and thought.",Literature,Medieval
Romeo and Juliet,"A tragedy by William Shakespeare, Romeo and Juliet is a story of young love thwarted by familial conflict. The play is famous for its exploration of themes such as fate, passion, and the conflict between youth and age. Romeo and Juliet remains one of Shakespeare's most performed plays.",Literature,Elizabethan
The Hay Wain,"A landscape painting by John Constable, The Hay Wain depicts rural life in England. Constable's use of natural light and color brought a new level of realism to landscape painting. The Hay Wain is celebrated for its portrayal of the English countryside and is one of the most famous works of British art.",Art,Romanticism
The Magic Flute,"An opera by Wolfgang Amadeus Mozart, The Magic Flute is a blend of fairy tale, Masonic symbolism, and Enlightenment values. It is renowned for its beautiful arias and ensemble pieces, as well as its exploration of love, wisdom, and virtue. The Magic Flute remains one of the most popular operas in the repertoire.",Music,Classical
The Rite of Spring,"A ballet and orchestral composition by Igor Stravinsky, The Rite of Spring shocked audiences with its dissonant music and primitive choreography. The work is often seen as a turning point in modern classical music. Its themes of sacrifice and renewal reflect ancient rituals, making it a key work of modernism.",Music,Modernism
The Brothers Karamazov,"A novel by Fyodor Dostoevsky, The Brothers Karamazov explores deep philosophical questions about faith, free will, and morality. The novel is known for its complex characters and its profound exploration of the human soul. It is considered one of Dostoevsky's greatest works and a cornerstone of Russian literature.",Literature,Psychological
Madame Bovary,"A novel by Gustave Flaubert, Madame Bovary tells the story of a woman's dissatisfaction with provincial life. The novel is a critique of romantic ideals and social expectations, and is known for its precise style and psychological depth. Flaubert's work is a foundational text in the development of literary realism.",Literature,Realism
The Creation of Adam,"A fresco by Michelangelo, The Creation of Adam is part of the Sistine Chapel ceiling. The image of God giving life to Adam has become one of the most iconic depictions of the biblical creation story. Michelangelo's dynamic use of the human form exemplifies the High Renaissance style.",Art,High Renaissance
A Sunday Afternoon,"A painting by Georges Seurat, A Sunday Afternoon on the Island of La Grande Jatte is a key work of pointillism. Seurat's use of small dots of color to create a cohesive image was groundbreaking. The painting explores leisure, light, and form in the modern world.",Art,Pointillism
Bohemian Rhapsody,"A song by Queen, Bohemian Rhapsody is a genre-defying track that blends rock, opera, and ballad elements. It is famous for its complex structure, unusual lyrics, and powerful vocal performance by Freddie Mercury. The song has become one of Queen's signature works.",Music,Rock
The Sound of Music,"A musical by Rodgers and Hammerstein, The Sound of Music tells the story of a young governess and a family in Austria during World War II. The musical is beloved for its uplifting songs and themes of love, family, and courage. It remains one of the most popular musicals of all time.",Music,Musical Theater
The Death of Marat,"A painting by Jacques-Louis David, The Death of Marat depicts the French revolutionary leader shortly after his assassination. The painting is a powerful example of Neoclassical style, with its focus on heroic sacrifice and clean, idealized forms. It is one of David's most famous works.",Art,Neoclassical
The Picture of Dorian Gray,"A novel by Oscar Wilde, The Picture of Dorian Gray explores themes of vanity, morality, and the corrupting influence of art. The story follows a man who remains youthful while his portrait ages. Wilde's only novel is known for its wit, philosophical depth, and exploration of aestheticism.",Literature,Aestheticism
Symphony No. 7,"A symphony by Ludwig van Beethoven, Symphony No. 7 is celebrated for its rhythmic energy and joyful spirit. The second movement, Allegretto, is particularly famous for its haunting, melancholic beauty. Beethoven's Seventh remains a staple of the symphonic repertoire.",Music,Classical
Peer Gynt,"An orchestral suite by Edvard Grieg, Peer Gynt is based on Henrik Ibsen's play of the same name. The music includes some of Grieg's most famous compositions, including 'In the Hall of the Mountain King.' The suite captures the adventurous and fantastical nature of the play.",Music,Romanticism
David,"A sculpture by Michelangelo, David is a masterpiece of Renaissance art. The marble statue represents the biblical hero David and is renowned for its detailed anatomy and sense of motion. David exemplifies the ideals of human beauty and strength in Renaissance art.",Art,Renaissance
The Battle of San Romano,"A painting by Paolo Uccello, The Battle of San Romano is a depiction of a historical battle in Italy. The painting is celebrated for its use of perspective and foreshortening, which were innovative at the time. It is one of the key works of early Renaissance art.",Art,Early Renaissance
The Odyssey,"An epic poem attributed to Homer, The Odyssey follows the journey of Odysseus as he attempts to return home after the Trojan War. The poem is celebrated for its exploration of themes such as heroism, loyalty, and the power of fate. It remains one of the most influential works in Western literature.",Literature,Epic
The Nutcracker,"A ballet composed by Pyotr Ilyich Tchaikovsky, The Nutcracker is based on E.T.A. Hoffmann's story 'The Nutcracker and the Mouse King.' The ballet is famous for its beautiful music and its role in Christmas traditions around the world. The 'Dance of the Sugar Plum Fairy' is one of its most iconic pieces.",Music,Classical
Les Demoiselles d'Avignon,"A painting by Pablo Picasso, Les Demoiselles d'Avignon is considered a groundbreaking work in the development of Cubism. The painting depicts five female nudes with distorted, angular bodies. Picasso's bold use of form and abstraction marked a radical departure from traditional representation in art.",Art,Cubism
Hamlet,"A tragedy by William Shakespeare, Hamlet tells the story of the Prince of Denmark as he seeks revenge for his father's murder. The play is famous for its exploration of themes such as madness, revenge, and the complexity of the human mind. Hamlet is one of Shakespeare's most performed and analyzed works.",Literature,Elizabethan
Boléro,"A one-movement orchestral piece by Maurice Ravel, Boléro is renowned for its hypnotic rhythm and gradual crescendo. The piece builds from a simple melody to a powerful climax, and it has become one of Ravel's most famous works. Boléro is often associated with dance, although it was not originally intended as a ballet.",Music,Modernism
The Trial,"A novel by Franz Kafka, The Trial tells the story of Josef K., a man who is arrested and prosecuted by a mysterious authority without being told of his crime. The novel explores themes of bureaucracy, guilt, and alienation, and is considered a key work of existentialist literature.",Literature,Existentialism
The Tempest,"A play by William Shakespeare, The Tempest is a story of magic, betrayal, and reconciliation. The play is set on a remote island and follows the sorcerer Prospero as he seeks to restore his daughter's place in society. The Tempest is notable for its exploration of themes such as power, forgiveness, and the natural world.",Literature,Elizabethan
Nocturnes,"A set of piano pieces by Claude Debussy, Nocturnes are known for their atmospheric, impressionistic style. Debussy's use of innovative harmonies and tone colors has made these pieces a staple of the piano repertoire. Nocturnes evoke the beauty and mystery of the night.",Music,Impressionism
The Night Café,"A painting by Vincent van Gogh, The Night Café is a depiction of a brightly lit room with intense colors. Van Gogh's bold use of color and thick brushstrokes create a sense of unease and isolation, reflecting the emotional turmoil the artist experienced during his time in Arles.",Art,Post-Impressionism
Symphony No. 9,"A symphony by Ludwig van Beethoven, Symphony No. 9 is famous for its final movement, which includes a choral setting of Friedrich Schiller's 'Ode to Joy.' The symphony is considered one of Beethoven's greatest achievements and a cornerstone of Western classical music.",Music,Classical
Medea,"A tragedy by Euripides, Medea tells the story of a woman who takes revenge on her unfaithful husband by killing their children. The play is known for its exploration of themes such as revenge, passion, and the consequences of betrayal. Medea is one of the most powerful and enduring works of ancient Greek drama.",Literature,Greek Tragedy
The Persistence of Memory,"A surrealist painting by Salvador Dalí, The Persistence of Memory features melting clocks draped over a barren landscape. The painting is often interpreted as a reflection on the fluidity of time and memory. Dalí's precise, dreamlike style and imaginative subject matter have made this painting one of the most iconic works of Surrealism.",Art,Surrealism
La Bohème,"An opera by Giacomo Puccini, La Bohème is a story of young love and tragedy set in the Bohemian quarter of Paris. The opera is beloved for its beautiful arias and emotional depth, and remains one of the most frequently performed operas in the world.",Music,Opera
The Death of Ivan Ilyich,"A novella by Leo Tolstoy, The Death of Ivan Ilyich is a meditation on mortality and the search for meaning in life. The story follows a man who, facing death, reflects on the emptiness of his existence. Tolstoy's work is celebrated for its psychological insight and its profound exploration of human suffering.",Literature,Realism
The Sleeping Beauty,"A ballet composed by Pyotr Ilyich Tchaikovsky, The Sleeping Beauty is one of the most famous works in the classical ballet repertoire. The ballet is known for its enchanting music and the iconic role of Princess Aurora. It remains a favorite of ballet companies around the world.",Music,Classical
The Last Supper,"A mural by Leonardo da Vinci, The Last Supper depicts the moment when Jesus announces that one of his disciples will betray him. The mural is renowned for its use of perspective and its emotional depth, capturing the tension and drama of the moment. It is one of the most recognized works of Christian art.",Art,Renaissance
Tannhäuser,"An opera by Richard Wagner, Tannhäuser is a story of love, redemption, and spiritual conflict. The opera is known for its sweeping orchestration and the emotional intensity of its characters. Tannhäuser is a key work in the development of Wagner's style and his exploration of myth and legend.",Music,Romanticism
The Garden of Earthly Delights,"A triptych painting by Hieronymus Bosch, The Garden of Earthly Delights is a complex, fantastical depiction of paradise, earthly pleasures, and hell. The painting is known for its intricate details and surreal imagery, and it has been interpreted in many different ways over the centuries.",Art,Renaissance
The Great Wave off Kanagawa,"A woodblock print by Katsushika Hokusai, The Great Wave off Kanagawa is one of the most famous works of Japanese art. The print depicts a massive wave threatening boats off the coast of Japan, with Mount Fuji in the background. The image is celebrated for its dynamic composition and its blend of natural beauty and human struggle.",Art,Ukiyo-e
The Mona Lisa,"A portrait painting by Leonardo da Vinci, The Mona Lisa is one of the most recognized and visited works of art in the world. Its subject's mysterious expression and da Vinci's pioneering use of sfumato make it a masterpiece of Renaissance art.",Art,Renaissance
Inferno,"A part of Dante Alighieri's Divine Comedy, Inferno describes Dante's journey through Hell, guided by the poet Virgil. The work is known for its vivid imagery of punishment and moral lessons, and is one of the foundational works of Italian literature.",Literature,Medieval
Symphony No. 40,"A symphony by Wolfgang Amadeus Mozart, Symphony No. 40 is one of his most celebrated works. It is known for its emotional depth and intensity, particularly in the first movement, which has become one of the most recognizable themes in classical music.",Music,Classical
Girl with a Pearl Earring,"A painting by Johannes Vermeer, Girl with a Pearl Earring is often referred to as the 'Mona Lisa of the North.' The painting is admired for its serene beauty, the subject's captivating gaze, and Vermeer's masterful use of light.",Art,Dutch Golden Age
Macbeth,"A tragedy by William Shakespeare, Macbeth explores themes of ambition, power, and guilt. The play follows the rise and fall of Macbeth as he murders his way to the throne, only to be consumed by paranoia and madness.",Literature,Elizabethan
Clair de Lune,"A piano piece by Claude Debussy, Clair de Lune is known for its delicate, impressionistic melody that evokes the beauty of moonlight. It is one of Debussy's most famous works and a key piece in the Romantic piano repertoire.",Music,Impressionism
The Metamorphosis,"A novella by Franz Kafka, The Metamorphosis tells the story of Gregor Samsa, who wakes up one morning to find himself transformed into a giant insect. The work is often seen as a study in alienation and existential despair.",Literature,Existentialism
The Iliad,"An epic poem by Homer, The Iliad tells the story of the Trojan War and the Greek hero Achilles. It is one of the most important works of ancient Greek literature, exploring themes of heroism, mortality, and the wrath of gods.",Literature,Epic
Water Lilies,"A series of paintings by Claude Monet, Water Lilies captures the changing light and reflections on a pond filled with water lilies. Monet's focus on natural beauty and atmospheric effects made this series a defining work of Impressionism.",Art,Impressionism
Symphony of Psalms,"A choral symphony by Igor Stravinsky, Symphony of Psalms is known for its religious and liturgical themes. The work is unique for its use of choir and its blending of modernist elements with spiritual expression.",Music,Modernism
A Streetcar Named Desire,"A play by Tennessee Williams, A Streetcar Named Desire explores themes of desire, mental illness, and the decline of Southern aristocracy. The play's central character, Blanche DuBois, is one of the most iconic roles in American theater.",Literature,Southern Gothic
The Book of Kells,"An illuminated manuscript of the Gospels, The Book of Kells is celebrated for its intricate designs and vibrant colors. It is one of the finest examples of medieval art and a treasure of Irish heritage.",Art,Medieval
La Traviata,"An opera by Giuseppe Verdi, La Traviata tells the tragic love story of Violetta and Alfredo. The opera is known for its beautiful arias and its exploration of themes like love, sacrifice, and societal pressure.",Music,Romanticism
The Birth of Tragedy,"A philosophical treatise by Friedrich Nietzsche, The Birth of Tragedy explores the origins of Greek tragedy and the tension between the Apollonian and Dionysian impulses in art. It is one of Nietzsche's foundational works.",Literature,Philosophy
Sonata No. 14,"A piano sonata by Ludwig van Beethoven, Sonata No. 14, also known as the 'Moonlight Sonata,' is celebrated for its emotional depth and technical brilliance. The first movement is particularly well-known for its lyrical beauty.",Music,Romanticism
The Creation,"An oratorio by Joseph Haydn, The Creation is based on the biblical story of creation. The work is celebrated for its grandeur and its vivid musical depiction of the natural world, from the first light to the creation of animals.",Music,Classical
The Bacchae,"A tragedy by Euripides, The Bacchae is a story of Dionysus and the consequences of rejecting divine power. The play explores themes of madness, ecstasy, and the conflict between order and chaos.",Literature,Greek Tragedy
The Thinker,"A sculpture by Auguste Rodin, The Thinker is one of the most recognizable works of art in the world. The sculpture depicts a man in deep contemplation, symbolizing the power of human thought.",Art,Modernism
The Magic Mountain,"A novel by Thomas Mann, The Magic Mountain is a philosophical exploration of life, death, and time, set in a sanatorium in the Swiss Alps. The novel is considered one of the great works of 20th-century literature.",Literature,Modernism
The Rite of Spring,"A ballet by Igor Stravinsky, The Rite of Spring is famous for its innovative use of rhythm and dissonance, as well as the riot it caused at its 1913 premiere. The ballet's themes of sacrifice and renewal have made it one of the most influential works of modern music.",Music,Modernism
The Starry Night,"A painting by Vincent van Gogh, The Starry Night is a swirling depiction of a night sky over a small town. The painting is known for its vivid use of color and movement, reflecting van Gogh's emotional state during his time in an asylum. It is one of the most famous works of Post-Impressionism.",Art,Post-Impressionism
The Brothers Karamazov,"A novel by Fyodor Dostoevsky, The Brothers Karamazov explores deep philosophical questions about faith, free will, and morality. The novel is known for its complex characters and its profound exploration of the human soul. It is considered one of Dostoevsky's greatest works and a cornerstone of Russian literature.",Literature,Psychological
Rhapsody in Blue,"A composition by George Gershwin, Rhapsody in Blue blends elements of classical music with jazz. The piece is known for its lively rhythms and sweeping melodies, and is often seen as a representation of the energy and innovation of early 20th-century America.",Music,Jazz
Guernica,"A painting by Pablo Picasso, Guernica is a powerful depiction of the horrors of war, specifically the bombing of the town of Guernica during the Spanish Civil War. The painting's fragmented, angular figures convey a sense of chaos and destruction, making it one of Picasso's most famous works.",Art,Cubism
Othello,"A tragedy by William Shakespeare, Othello tells the story of a Moorish general who is manipulated into doubting his wife’s fidelity. The play explores themes of jealousy, race, and betrayal, and is known for its intense psychological drama.",Literature,Elizabethan
The Moldau,"A symphonic poem by Bedřich Smetana, The Moldau is part of the Má vlast cycle and depicts the flow of the Vltava River through the Czech countryside. The piece is celebrated for its vivid musical depiction of natural landscapes and is a staple of the Romantic orchestral repertoire.",Music,Romanticism
The Stranger,"A novel by Albert Camus, The Stranger tells the story of Meursault, an indifferent man who becomes involved in a senseless murder. The novel explores themes of existentialism, absurdity, and the human condition, and is one of the key works of 20th-century philosophy.",Literature,Existentialism
Paradise Lost,"An epic poem by John Milton, Paradise Lost tells the story of the Fall of Man, focusing on Satan's rebellion and Adam and Eve's expulsion from the Garden of Eden. The poem is celebrated for its rich language and exploration of free will, obedience, and redemption.",Literature,Epic
The Garden of Earthly Delights,"A triptych painting by Hieronymus Bosch, The Garden of Earthly Delights depicts a fantastical vision of paradise, earthly pleasures, and hell. The painting is known for its intricate details and surreal imagery, making it one of the most enigmatic works of the Northern Renaissance.",Art,Northern Renaissance
Appalachian Spring,"A ballet by Aaron Copland, Appalachian Spring captures the spirit of rural America through its use of folk melodies and open harmonies. The ballet is often associated with the optimism and simplicity of pioneer life, and it remains one of Copland's most popular works.",Music,Modernism
Waiting for Godot,"A play by Samuel Beckett, Waiting for Godot is an absurdist drama in which two characters wait for someone named Godot, who never arrives. The play explores themes of existentialism, meaninglessness, and the passage of time, and is one of the defining works of 20th-century theater.",Literature,Absurdist
The Canterbury Tales,"A collection of stories by Geoffrey Chaucer, The Canterbury Tales is a cornerstone of English literature. The tales are told by a group of pilgrims on their way to Canterbury and provide a rich portrait of medieval society, with themes ranging from love and religion to greed and corruption.",Literature,Medieval
Madame Butterfly,"An opera by Giacomo Puccini, Madame Butterfly tells the tragic story of a Japanese woman who falls in love with an American naval officer, only to be abandoned. The opera is beloved for its emotional depth and beautiful music, including the famous aria 'Un bel dì vedremo.'",Music,Opera
Thus Spoke Zarathustra,"A philosophical novel by Friedrich Nietzsche, Thus Spoke Zarathustra explores themes of individualism, the will to power, and the concept of the Übermensch. The book is known for its poetic language and its radical critique of traditional morality and religion.",Literature,Philosophy
The Magic Flute,"An opera by Wolfgang Amadeus Mozart, The Magic Flute is a blend of fairy tale, Masonic symbolism, and Enlightenment ideals. The opera is celebrated for its beautiful arias, complex characters, and exploration of themes such as love, wisdom, and virtue.",Music,Classical
The Messiah,"An oratorio by George Frideric Handel, The Messiah is one of the most famous choral works in the Western classical tradition. The oratorio is known for its powerful 'Hallelujah' chorus and its uplifting themes of redemption and salvation.",Music,Baroque
Antigone,"A tragedy by Sophocles, Antigone tells the story of a young woman who defies the king's orders to bury her brother. The play explores themes of law, justice, and individual conscience, and is one of the most enduring works of ancient Greek drama.",Literature,Greek Tragedy
The School of Athens,"A painting by Raphael, The School of Athens is a fresco that depicts an assembly of philosophers, including Plato and Aristotle, in a grand architectural setting. The painting is celebrated for its use of perspective and its representation of classical wisdom.",Art,Renaissance
The Red and the Black,"A novel by Stendhal, The Red and the Black tells the story of a young man who attempts to rise above his station through a combination of ambition, love, and deception. The novel is a critique of the rigid social hierarchies of 19th-century France and is considered one of the great works of French literature.",Literature,Realism
The Firebird,"A ballet by Igor Stravinsky, The Firebird is based on a Russian folk tale and is known for its colorful orchestration and rhythmic vitality. The ballet's themes of magic, transformation, and heroism have made it one of Stravinsky's most enduring works.",Music,Modernism
Nike of Samothrace,"The Nike of Samothrace, or Winged Victory of Samothrace, is a Hellenistic sculpture from the 2nd century BCE, depicting the Greek goddess Nike in a dynamic, triumphant pose as she descends to celebrate a naval victory. Her flowing robes and outstretched wings convey a powerful sense of motion and grandeur, embodying the dramatic and emotional intensity characteristic of Hellenistic art. Despite its missing head and arms, the statue remains a masterpiece of movement and form, symbolizing victory and freedom. The Winged Victory of Samothrace, one of the most famous statues at the Louvre, graces the top of the monumental Daru staircase. This spectacular setting was carefully chosen to showcase the masterpiece of Greek Hellenistic art. The Winged Victory of Samothrace was placed in her new home on the upper landing in 1883, some 20 years after the statue was discovered.  ",Art,Hellenistic
The Scarlet Letter,"A novel by Nathaniel Hawthorne, The Scarlet Letter explores themes of sin, guilt, and redemption in 17th-century Puritan society. The novel is known for its symbolism and its critical exploration of moral and social issues.",Literature,Gothic
Great Expectations,"A novel by Charles Dickens, Great Expectations follows the life of Pip, an orphan who dreams of becoming a gentleman. The novel is celebrated for its exploration of class, ambition, and personal growth.",Literature,Victorian
The Grapes of Wrath,"A novel by John Steinbeck, The Grapes of Wrath tells the story of the Joad family as they migrate westward during the Great Depression. The novel is a powerful critique of social inequality and injustice.",Literature,Realism
The Picture of Dorian Gray,"A novel by Oscar Wilde, The Picture of Dorian Gray explores themes of vanity, morality, and the corrupting influence of art. The novel's blend of Gothic elements and philosophical depth has made it a classic of English literature.",Literature,Gothic
